Person id	Full name	Full name reversed	Blurb	male/female/group	Nationality	Birth date	Birth year	Death date	Death year	Birth city/state	Birth country	Death city/state	Death country	I am a useless column
adamsjohnq003736	John Quincy Adams	Adams, John Quincy	(1767–1848), American president	Male	American	Saturday, 11 July 1767	1767	Wednesday, 23 February 1848	1848	Braintree, Massachusetts	United States of America	Washington, DC	United States of America	
adamssamue000036	Samuel Adams	Adams, Samuel	(1722–1803), American statesman	Male	American	Sunday, 27 September 1722	1722	Sunday, 2 October 1803	1803	Boston, Massachusetts	United States of America	Boston, Massachusetts	United States of America	
adamsthoma024992	Thomas Adams	Adams, Thomas	(c. 1757–1799), American journalist, printer	Male	American	c. 1757	1757	Monday, 13 May 1799	1799		United States of America		unknown	
adamswilli003600	Rev. William Adams	Adams, Rev. William	(1706–1789), English clergyman, college principal	Male	English	Tuesday, 17 August 1706	1706	Tuesday, 13 January 1789	1789	Shrewsbury, Shropshire	England	Gloucester, Gloucestershire	England	
adamswilli005755	William Adams	Adams, William	(fl. 1694–1699), English academic	Male	English						England		unknown	
adamwilli0000033	William Adam	Adam, William	(1751–1839), Scottish politician, lawyer	Male	Scottish	Monday, 2 August 1751	1751	Sunday, 17 February 1839	1839		Scotland	Edinburgh, county of Edinburgh	Scotland	
addinhenry000039	Henry Addington, 1st Viscount Sidmouth	Addington, Henry, 1st Viscount Sidmouth	(1757–1844), English government minister, prime minister	Male	English	Monday, 30 May 1757	1757	Thursday, 15 February 1844	1844		England	White Lodge, Richmond Park, Richmond upon Thames, Greater London	England	
addinjohnh000040	John Hiley Addington	Addington, John Hiley	(1759–1818), English government minister	Male	English	1759	1759	1818	1818		England		unknown	
addisedwar003601	Edward Addison	Addison, Edward	(fl. 1713–1715), English army officer, steward	Male	English						England		unknown	
addisgulst024328	Gulston Addison	Addison, Gulston	(1673–1709), English colonial governor	Male	English	1673	1673	1709	1709		England	Madras, Tamil Nadu	India	
addisjosep000041	Joseph Addison	Addison, Joseph	(1672–1719), English politician, poet, essayist	Male	English	Sunday, 1 May 1672	1672	Saturday, 17 June 1719	1719	Milston, Wiltshire	England	London, Greater London	England	
addislance003602	Lancelot Addison	Addison, Lancelot	(1680–1710), English classicist	Male	English	1680	1680	1710	1710		England		unknown	
addisleona000042	Leonard Addison	Addison, Leonard	(fl. 1696–1697), English lawyer	Male	English						England		unknown	
addismary0003603	Mrs Mary Addison	Addison, Mrs Mary	(d. 1710), English colonial governor's wife	Female	English		0	Saturday, 1 February 1710	1710		England	Madras, Tamil Nadu	India	
addistrust003723	trustees of Gulston Addison	Addison, trustees of Gulston	(active 1710), English estate trustees	Group	English						England		unknown	
addiswilli005312	William Addison	Addison, William	(fl. 1722), English correspondent of Sir Richard Steele	Male	English						England		unknown	
adhemalexa024140	Alexandre d'Adhémar de Monteil de Brunier, comte de Marsanne	Adhémar de Monteil de Brunier, Alexandre d', comte de Marsanne	(1714-after 1792), French courtier, army officer	Male	French	1714	1714	after  1792	1792		France		unknown	
admirlords003675	Lords Commissioners of the Admiralty	Admiralty, Lords Commissioners of the	(founded 1628), British government department	g	English	1628	1628		0		England		unknown	
adolpj0000024589	John Adolphus	Adolphus, John	(1768–1845), English lawyer, historian	Male	English	Sunday, 7 August 1768	1768	Wednesday, 16 July 1845	1845	London, Greater London	England	London, Greater London	England	
adshepeter024403	Peter Adshead	Adshead, Peter	(fl. 1773–1807), English calico printer	Male	English						England		unknown	
advenjacqu024004	Jacques d'Advenel	Advenel, Jacques d'	(fl. 1746–1747), French clerk	Male	French						France		unknown	
affrylouis002376	Louis Auguste Augustin d'Affry, comte d'Affry	Affry, Louis Auguste Augustin d', comte d'Affry	(1713–1793), French general	Male	French	1713	1713	1793	1793	Versailles, Yvelines	France	Saint-Barthélémy, Vaud	Switzerland	
agayfranc0001614	François Marie Bruno d'Agay, comte de Mutigney	Agay, François Marie Bruno d', comte de Mutigney	(1722–1805), French lawyer, academy member	Male	French	1722	1722	1805	1805		France		unknown	
aglanclaud023134	Claude Aglancier de Saint-Germain	Aglancier de Saint-Germain, Claude	(1718–1788), French army officer	Male	French	Friday, 3 June 1718	1718	Sunday, 12 October 1788	1788	Grenoble, Isère	France		unknown	
agliogeorg004536	George Aglionby	Aglionby, George	(1603–1643), English poet, clergyman	Male	English	between 1602 and 1603	1603	1643	1643	Oxford, Oxfordshire	England	Oxford, Oxfordshire	England	
agliowilli004674	William Aglionby	Aglionby, William	(c. 1642–1705), English art historian, academy member, diplomat	Male	English	c. 1642	1642	Saturday, 28 November 1705	1705		England		unknown	
agricjohan025456	Johann Christian Agricola	Agricola, Johann Christian	(1589–c. 1670), German alchemist, physician	Male	German	1589	1589	c.  1670	1670	Rhineland-Palatinate	Germany		unknown	
aguilar000024694	Diego Pereira, baron d'Aguilar	Pereira, Diego, baron d'Aguilar	(1699–1759), Portuguese banker, merchant	Male	Portuguese	1699	1699	Friday, 10 August 1759	1759		Portugal	London, Greater London	England	
aignafranc000048	Rev. François Aignan	Aignan, Rev. François	(1644–1709), French friar, physician, chemist	m	French	1644	1644	1709	1709	Orléans, Loiret	France		unknown	
aigrecharl003334	Charles Michel Toussaint d'Aigrefeuille	Aigrefeuille, Charles Michel Toussaint d'	(1748–1818), French lawyer, academy member	Male	French	1748	1748	1818	1818		France		unknown	
aikinjames005102	James Aikin	Aikin, James	(1736–1803), Irish actor	Male	Irish	1736	1736	Thursday, 17 March 1803	1803	Dublin, county Dublin	Ireland		unknown	
aikmawilli004933	William Aikman of Cairnie	Aikman of Cairnie, William	(1682–1731), Scottish portrait painter	Male	Scottish	1682	1682	c.  1731	1731		Scotland		unknown	
airygeorg0005736	Sir George Biddell Airy	Airy, Sir George Biddell	(1801–1892), English astronomer, academy member	Male	English	Monday, 27 July 1801	1801	Saturday, 2 January 1892	1892	Alnwick, Northumberland	England	Greenwich, Greater London	England	
aissecharl000017	Charlotte Elisabeth Aïssé	Aïssé, Charlotte Elisabeth	(1694–1733), Circassian slave, social celebrity	Female	Circassian	1694	1694	1733	1733		Russia	Paris, Ile-de-France	France	
aitonjohn0003737	John Aiton	Aiton, John	(fl. 1786–1788), English gardener	Male	English						England		unknown	
aitonwilli003738	William Townsend Aiton	Aiton, William Townsend	(1766–1849), English horticulturist	Male	English	Sunday, 2 February 1766	1766	Tuesday, 9 October 1849	1849	Kew, Surrey	England	Kew, Surrey	England	
akensmark0000049	Mark Akenside	Akenside, Mark	(1721–1770), English physician, poet, academy member	Male	English	Sunday, 9 November 1721	1721	Saturday, 23 June 1770	1770	Newcastle upon Tyne, Tyne and Wear	England	London, Greater London	England	
alamaandre000050	marchese Andrea Alamanni	Alamanni, marchese Andrea	(1696–1753), Italian academy member, lexicographer	Male	Italian	1696	1696	Friday, 15 June 1753	1753	Florence, Tuscany	Italy		unknown	
alarypierr000051	Pierre Joseph Alary	Alary, Pierre Joseph	(1689–1770), French tutor to Louis XV, academy member	Male	French	Saturday, 19 March 1689	1689	Saturday, 15 December 1770	1770	Paris, Ile-de-France	France	Paris, Ile-de-France	France	
alberfranc000052	marchese Francesco Albergati Capacelli	Albergati Capacelli, marchese Francesco	(1728–1804), Italian author, playwright, politician	Male	Italian	1728	1728	1804	1804	Bologna, Emilia-Romagna	Italy	Zola Predosa, Emilia-Romagna	Italy	
albergiuli000053	Cardinal Giulio Alberoni	Alberoni, Cardinal Giulio	(1664–1752), Italian churchman, royal favourite, aristocrat, prime minister	Male	Italian	Friday, 30 May 1664	1664	Monday, 26 June 1752	1752	Fiorenzuola d'Arda, Parma	Italy	Piacenza, Emilia-Romagna	Italy	
alcocedwar024578	Edward Alcock	Alcock, Edward	(fl. 1745–1778), English painter	Male	English						England		unknown	
aldencharl002685	Charlotte Sophia van Aldenburg, countess of Bentinck	Aldenburg, Charlotte Sophia van, countess of Bentinck	(1715–1800), Dutch aristocrat, author	f	Dutch	Sunday, 4 August 1715	1715	Wednesday, 5 February 1800	1800	Varel, Lower Saxony	Germany	Hamburg, state of Hamburg	Germany	
alderchris004356	Rev. Christopher Alderson	Alderson, Rev. Christopher	(1737–1814), English clergyman	Male	English	1737	1737	Sunday, 27 March 1814	1814		England	Eckington, Derbyshire	England	
aleaume000004675	— Aleaume	Aleaume, —	(fl. 1698), correspondent of John Locke	Male	unknown						unknown		unknown	
alexaalexa004404	Alexander John Alexander	Alexander, Alexander John	(b. after 1733), Scottish merchant	Male	Scottish	after 1733	1733		0		Scotland		unknown	
alexabethi004405	Bethia Alexander	Alexander, Bethia	(1757–1839), Scottish banker's daughter	Female	Scottish	1757	1757	1839	1839		Scotland		unknown	
alexachris004406	Christine Alexander	Alexander, Christine	(1762–1845), Scottish banker's daughter	Female	Scottish	1762	1762	1845	1845		Scotland		unknown	
alexaisabe004407	Isabella Alexander	Alexander, Isabella	(1768–1853), American merchant's wife	f	American	1768	1768	1853	1853		Scotland		unknown	
alexaja000003739	J. A. Alexander	Alexander, J. A.	(fl. 1796), English lawyer	Male	English						England		unknown	
alexajames003740	James Wadman Alexander	Alexander, James Wadman	(c. 1767–1837), English academic	Male	English	c. 1767	1767	1837	1837		England		unknown	
alexajane0004408	Jane Alexander	Alexander, Jane	(1765–1843), Scottish banker's daughter	Female	Scottish	1765	1765	1843	1843		Scotland		unknown	
alexajohn0000059	John Alexander	Alexander, John	(1762–1831), English lawyer, landowner	Male	English	1762	1762	1831	1831		England		unknown	
alexanderi000058	Alexander I, czar of Russia	Alexander I, czar of Russia	(1777–1825), Russian monarch	Male	Russian	Tuesday, 23 December 1777	1777	Thursday, 1 December 1825	1825	St Petersburg, Leningrad province	Russia	Taganrog	Russia	
alexandero024531	Claud Alexander of Ballochmyle	Alexander of Ballochmyle, Claud	(1753–1809), Scottish mill owner	Male	Scottish	1753	1753	1809	1809		Scotland		unknown	
alexawilli000061	William Alexander	Alexander, William	(1729–1818), Scottish banker, secret agent	Male	Scottish	1729	1729	1818	1818		Scotland	Kentucky	United States of America	
alforanne0004677	Lady Anne Alford	Alford, Lady Anne	(c. 1619–1693), English gentlewoman	Female	English	c. 1619	1619	1693	1693		England		unknown	
alforjohn0004676	John Alford	Alford, John	(1647–1691), English politician	Male	English	1647	1647	1691	1691		England	Offington, Worthing, West Sussex	England	
algarbonom000062	conte Bonomo Algarotti	Algarotti, conte Bonomo	(d. 1776), Italian businessman, art collector	Male	Italian		0	1776	1776		Italy		unknown	
algarfranc000063	conte Francesco Algarotti	Algarotti, conte Francesco	(1712–1764), Italian popular scientific writer	Male	Italian	Sunday, 11 December 1712	1712	Saturday, 3 March 1764	1764	Venice, Veneto	Italy	Pisa, Tuscany	Italy	
aligretien004427	Étienne François d'Aligre, marquis d'Aligre	Aligre, Étienne François d', marquis d'Aligre	(1727–1798), French magistrate	Male	French	1727	1727	1798	1798		France	Brunswick, Lower Saxony	Germany	
alisoarchi000064	Archibald Alison	Alison, Archibald	(1757–1839), Scottish clergyman, author	Male	Scottish	1757	1757	Friday, 17 May 1839	1839	Edinburgh, county of Edinburgh	Scotland	Edinburgh, county of Edinburgh	Scotland	
alissmarie022984	Marie Anne Alissan de La Tour	Alissan de La Tour, Marie Anne	(1730–1789), French correspondent of Jean Jacques Rousseau	Female	French	1730	1730	1789	1789		France		unknown	
allamfranc000066	François Louis Allamand	Allamand, François Louis	(1709–1784), Swiss classicist, apologist	Male	Swiss	Wednesday, 16 January 1709	1709	Saturday, 3 April 1784	1784	Vevey, canton of Vaud	Switzerland	Lausanne, canton of Vaud	Switzerland	
allamjeann000067	Jean Nicolas Sébastien Allamand	Allamand, Jean Nicolas Sébastien	(1713–1787), Swiss zoologist, physicist	Male	Swiss	Wednesday, 13 September 1713	1713	Friday, 2 March 1787	1787	Lausanne, canton of Vaud	Switzerland	Leiden, South Holland	Netherlands	
allard0000023766	Mlle — Allard	Allard, Mlle —	(fl. 1764–1765), French Catholic convert	Female	French						France		unknown	
allard0000024229	vicomtesse d'Allard	vicomtesse d'Allard	(fl. c. 1800), French aristocrat	Female	French						France		unknown	
allemfrede001608	Friedrich Samuel Alleman, count Montmartin	Alleman, Friedrich Samuel, count Montmartin	(1712–1778), German courtier, diplomat	Male	German	1712	1712	1778	1778	Zeitz, Saxony-Anhalt	Germany		unknown	
allenjerem024967	Jeremiah Allen	Allen, Jeremiah	(fl. 1779–1791), American merchant	Male	American						United States of America		unknown	
allenralph005078	Ralph Allen	Allen, Ralph	(1693–1764), English postal entrepreneur, philanthropist	Male	English	before Friday, 24 July 1693	1693	Friday, 29 June 1764	1764	St Columb Major, Cornwall	England	Prior Park, Bath, Somerset	England	
allenwilli003741	William Allen	Allen, William	(1770–1843), English philanthropist, scientist, academy member	Male	English	Wednesday, 29 August 1770	1770	Saturday, 30 December 1843	1843	London, Greater London	England	Lindfield, Sussex	England	
allesjames004679	James Allestry	Allestry, James	(d. 1670), English printer, bookseller	Male	English		0	1670	1670		England		unknown	
alleswilli004678	William Allestree	Allestree, William	(1643–1690), English diplomat, politician	Male	English	1643	1643	1690	1690		England		unknown	
alleyjohn0025566	John Alleyn	Alleyn, John	(1621–1663), English lawyer, politician	Male	English	Monday, 1 March 1621	1621	Tuesday, 26 June 1663	1663	Little Waltham, Essex	England	London, Greater London	England	
alliofranc000068	François Antoine Pierre Alliot	Alliot, François Antoine Pierre	(1699–c. 1781), French court official	Male	French	1699	1699	c.  1781	1781		France		unknown	
allisaac00024647	Isaac All	All, Isaac	(d. c. 1789), American sea captain	Male	American		0	c.  1789	1789		United States of America		unknown	
allonantoi023754	Antoine Charles Augustin d'Allonville	Allonville, Antoine Charles Augustin d'	(1735–1792), French general, courtier	Male	French	1735	1735	Friday, 10 August 1792	1792		France		unknown	
allonarman024310	comte Armand François d'Allonville	Allonville, comte Armand François d'	(1764–1832), French army officer, journalist	Male	French	Sunday, 16 December 1764	1764	1832	1832		France	Metz, Moselle	France	
almanza000003629	— de Almanza	Almanza, — de	(fl. 1714), Spanish government minister	Male	Spanish						Spain		unknown	
almonmaria005103	Maria Almon	Almon, Maria	(d. after 1805), English journalist's wife	Female	English		0	after  1805	1805		England		unknown	
altunmanue002877	Don Manuel Ignacio de Altuna y Portu	Altuna y Portu, Don Manuel Ignacio de	(1722–1762), Spanish lawyer, local politician	Male	Spanish	Thursday, 3 September 1722	1722	1762	1762	Azcoitia, Basque Country	Spain		unknown	
alvarez000025752	— Alvarez	Alvarez, —	(fl. 1730), French letter-writer	Male	French						France		unknown	
amarzjeanb000840	Jean Baptiste Joseph Damarzit de Sahuguet, baron d'Espagnac	Damarzit de Sahuguet, Jean Baptiste Joseph, baron d'Espagnac	(1713–1783), French general, military historian	Male	French	Saturday, 25 March 1713	1713	Friday, 28 February 1783	1783	Brives, Corrèze	France	Paris, Ile-de-France	France	
ameloantoi000071	Antoine Jean Amelot de Chaillou, marquis de Combrande	Amelot de Chaillou, Antoine Jean, marquis de Combrande	(1732–1795), French government minister	Male	French	1732	1732	1795	1795		France		unknown	
amelojeanj000072	Jean Jacques Amelot de Chaillou	Amelot de Chaillou, Jean Jacques	(1689–1749), French government minister	Male	French	Saturday, 30 April 1689	1689	Wednesday, 7 May 1749	1749		France	Paris, Ile-de-France	France	
amesfishe0024866	Fisher Ames	Ames, Fisher	(1758–1808), American politician, essayist, lawyer	Male	American	Sunday, 9 April 1758	1758	Monday, 4 July 1808	1808	Dedham, Massachusetts	United States of America	Dedham, Massachusetts	United States of America	
ameyrober0024363	Robert Amey	Amey, Robert	(fl. 1728–1753), English pamphlet-seller	Male	English						England		unknown	
amfryguill000953	Guillaume Amfrye de Chaulieu	Amfrye de Chaulieu, Guillaume	(1639–1720), French poet, conversationalist	Male	French	1639	1639	Thursday, 27 June 1720	1720	Fontenay, Normandy	France		unknown	
amman00000024758	Sgr — Amman	Amman, Sgr —	(fl. 1746), Italian diplomat	Male	italian						Italy		unknown	
ammonchris003464	Christoph Heinrich von Ammon	Ammon, Christoph Heinrich von	(c. 1713–1783), German aristocrat, diplomat	Male	German	c. 1713	1713	1783	1783		Germany		unknown	
amstemunic024394	municipalité d'Amsterdam	Amsterdam, municipalité d'	(used 1762), Dutch municipal body	Group	Dutch						Netherlands		unknown	
ancelmiche023753	Michel Marie Ancelet	Ancelet, Michel Marie	(1701–after 1778), French general	Male	French	Sunday, 27 November 1701	1701	after  1778	1778	Charleville, Champagne	France		unknown	
ancian0000024759	abbé — Ancian	Ancian, abbé —	(fl. 1759–1768), French clergyman	Male	French						France		unknown	
anderaw000025598	Rev. A. W. Anderson	Anderson, Rev. A. W.	(fl. 1690), Scottish clergyman	Male	Scottish						Scotland		unknown	
andergeorg004680	George Anderson	Anderson, George	(fl. 1700–1701), Scottish tutor to the earl of Kinnoull	Male	Scottish						Scotland		unknown	
anderjames000078	James Anderson	Anderson, James	(1739–1808), Scottish agriculturalist, political economist	Male	Scottish	1739	1739	Saturday, 15 October 1808	1808	Herminston, Midlothian	Scotland	West Ham, Essex	England	
anderjames024288	James Anderson	Anderson, James	(1662–1728), Scottish antiquarian, genealogist	Male	Scottish	Saturday, 5 August 1662	1662	Saturday, 3 April 1728	1728	Edinburgh, county of Edinburgh	Scotland	London, Greater London	England	
anderjames024358	James Anderson, Junior	Anderson, James, Junior	(b. c. 1700), Scottish friend of Richard Steele	Male	Scottish	c. 1700	1700		0		Scotland		unknown	
anderjohn0000079	John Anderson	Anderson, John	(1726–1796), Scottish physicist	Male	Scottish	Thursday, 26 September 1726	1726	Wednesday, 13 January 1796	1796	Rosneath, Dumbartonshire	Scotland	Glasgow, county of Glasgow	Scotland	
anderjohnw000080	Sir John William Anderson, baronet	Anderson, Sir John William, baronet	(c. 1736–1813), Scottish politician	Male	Scottish	c. 1736	1736	Friday, 21 May 1813	1813		Scotland		unknown	
anderwilli025677	William Anderson	Anderson, William	(d. 1675), Scottish merchant, politician	Male	Scottish		0	1675	1675		Scotland		unknown	
andreandre023750	André Joseph d'Andréa, seigneur de Châteaudouble	Andréa, André Joseph d', seigneur de Châteaudouble	(1703–1777), French aristocrat	Male	French	Sunday, 30 September 1703	1703	Thursday, 4 December 1777	1777		France		unknown	
andreantoi023751	Antoine Balthasar Joseph d'André	André, Antoine Balthasar Joseph d'	(1759–1825), French revolutionary politician	Male	French	1759	1759	1825	1825		France		unknown	
andrerober024648	Robert Andrews	Andrews, Robert	(c. 1747–1804), American clergyman, university professor, politician	Male	American	c. 1747	1747	1804	1804		United States of America		unknown	
andrijeanh023749	Jean Henri Andrié, vicomte de Gorgier	Andrié, Jean Henri, vicomte de Gorgier	(1729–1788), Swiss geographer, author, courtier in Prussian service	Male	Swiss	January 1729	1729	Saturday, 15 March 1788	1788	Valangin, canton of Neuchâtel	Switzerland	Berlin, state of Berlin	Germany	
angeleliza005104	Elizabeth Angelo	Angelo, Elizabeth	(1738–1805), Irish fencing-master's wife	Female	Irish	1738	1738	Friday, 11 January 1805	1805		Ireland		unknown	
anglilaure001031	Laurent Angliviel de La Beaumelle	Angliviel de La Beaumelle, Laurent	(1726–1773), French Huguenot, author, moralist	Male	French	1726	1726	1773	1773	Valleraugue, Gard	France		unknown	
angradenis023747	Denis François Angran d'Alleray	Angran d'Alleray, Denis François	(1715–1794), French lawyer, politician	Male	French	1715	1715	Monday, 28 April 1794	1794		France		unknown	
anissjacqu000088	Jacques Anisson-Duperron	Anisson-Duperron, Jacques	(1749–1794), French printer	Male	French	Saturday, 31 May 1749	1749	Friday, 25 April 1794	1794		France	Paris, Ile-de-France	France	
ankerpeter000089	Peter Anker	Anker, Peter	(1744–1832), Norwegian diplomat, artist, collector	Male	Norwegian	Friday, 31 July 1744	1744	Tuesday, 17 April 1832	1832	Halden, Østfold	Norway	Øraker, Oslo, Oslo county	Norway	
annequeeno000093	Anne, queen of Great Britain and Ireland	Anne, queen of Great Britain and Ireland	(1665–1714), British monarch	Female	English	Friday, 6 February 1665	1665	Wednesday, 1 August 1714	1714	London, Greater London	England	London, Greater London	England	
annesarthu005598	Arthur Annesley, 5th earl of Anglesey	Annesley, Arthur, 5th earl of Anglesey	(c. 1678–1737), English aristocrat, politician	Male	English	c. 1678	1678	1737	1737		England		unknown	
annesarthu025248	Arthur Annesley, 1st earl of Anglesey	Annesley, Arthur, 1st earl of Anglesey	(1614–1686), Irish politician	Male	Irish	Thursday, 10 July 1614	1614	Saturday, 6 April 1686	1686	Dublin, County Dublin	Ireland	London, Greater London	England	
annet00000023973	M. — Annet	Annet, M. —	(fl. 1763), French notary	Male	French						France		unknown	
anonymous0024212	[anonymous]	[anonymous]	(to be found throughout <em>EE</em>), an author who has hidden their identity	Male	unknown						unknown		unknown	
anselm0000025498	— Anselm	Anselm, —	(pseudonym used 1680), correspondent of Robert Boyle	Male	unknown						unknown		unknown	
ansonthoma005105	Thomas Anson, Viscount Anson of Shugborough	Anson, Thomas, Viscount Anson of Shugborough	(1767–1818), English politician	Male	English	Saturday, 14 February 1767	1767	Friday, 31 July 1818	1818		England		unknown	
anstechris004357	Christopher Anstey	Anstey, Christopher	(1724–1805), English poet	Male	English	Tuesday, 31 October 1724	1724	Saturday, 3 August 1805	1805	Trumpington, Cambridgeshire	England	Harnage, Wiltshire	England	
anstijohn0004378	John Anstis	Anstis, John	(1699–1744), English herald, antiquarian	Male	English	c. Wednesday, 28 August 1669	1669	Wednesday, 4 March 1744	1744	St Neot, Cornwall	England	Mortlake, Surrey	England	
anthojosep024888	Joseph Anthony	Anthony, Joseph	(1762–1814), American silversmith	Male	American	Friday, 15 January 1762	1762	Friday, 5 August 1814	1814	Portsmouth, Rhode Island	United States of America	Harrisburg, Philadelphia, Pennsylvania	United States of America	
antoifr000025732	Fr Antoine	Fr Antoine	(fl. before 1691), French Capuchin friar	Male	French						France		unknown	
antrapierr024290	Pierre Antoine Emmanuel Jules d'Antraigues	Antraigues, Pierre Antoine Emmanuel Jules d'	(1792–1861), French adventurer	Male	French	1792	1792	1861	1861		France		unknown	
antroeliza024339	Elizabeth Antrobus	Antrobus, Elizabeth	(d. 1773), English postal official	Female	English		0	June 1773	1773		England		England	
antromary0004358	Mary Antrobus	Antrobus, Mary	(b. 1732), English postal official	Female	English	1732	1732		0		England		unknown	
